Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Spring Hill,PM Peak (3pm-7pm),2023,0.07K,0K,66,61
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dunn Loring,PM Peak (3pm-7pm),2023,0.09K,0K,94,219
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Greensboro,PM Peak (3pm-7pm),2023,0.13K,0K,128,71
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Tysons,PM Peak (3pm-7pm),2023,0.24K,0K,237,103
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,West Falls Church,PM Peak (3pm-7pm),2023,0.04K,0K,35,163
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,McLean,PM Peak (3pm-7pm),2023,0.40K,0K,398,106
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Shady Grove,PM Peak (3pm-7pm),2023,0.26K,1K,264,776
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,East Falls Church,PM Peak (3pm-7pm),2023,0.12K,0K,116,314
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rockville,PM Peak (3pm-7pm),2023,0.15K,0K,147,259
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ballston-MU,PM Peak (3pm-7pm),2023,0.49K,1K,486,600
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Twinbrook,PM Peak (3pm-7pm),2023,0.16K,0K,157,239
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Virginia Sq-GMU,PM Peak (3pm-7pm),2023,0.14K,0K,135,237
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,North Bethesda,PM Peak (3pm-7pm),2023,0.18K,0K,182,207
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Clarendon,PM Peak (3pm-7pm),2023,0.16K,0K,156,337
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Grosvenor-Strathmore,PM Peak (3pm-7pm),2023,0.09K,0K,89,304
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Court House,PM Peak (3pm-7pm),2023,0.24K,0K,236,384
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Franconia-Springfield,PM Peak (3pm-7pm),2023,0.18K,1K,182,517
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Medical Center,PM Peak (3pm-7pm),2023,0.66K,0K,662,96
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rosslyn,PM Peak (3pm-7pm),2023,0.89K,1K,885,523
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Bethesda,PM Peak (3pm-7pm),2023,0.46K,0K,455,463
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Van Dorn Street,PM Peak (3pm-7pm),2023,0.06K,0K,62,209
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Ashburn,Midday (9:30am-3pm),2023,0.05K,0K,48,25
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Loudoun Gateway,Midday (9:30am-3pm),2023,0.01K,0K,6,2
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Dulles Airport,Midday (9:30am-3pm),2023,0.08K,0K,81,87
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Innovation Center,Midday (9:30am-3pm),2023,0.04K,0K,42,21
